studied_credits,num_of_prev_attempts,highest_education,avg_score,total_assessments,target
180,0,0,37.6,5.0,1
120,0,0,53.4,5.0,0
120,0,0,76.0,1.0,1
60,0,0,54.0,5.0,0
180,0,0,49.0,5.0,0
170,0,1,59.8,5.0,0
120,0,1,74.0,1.0,1
60,0,1,76.0,5.0,0
60,0,0,89.2,5.0,0
120,0,0,71.66666666666667,6.0,1
120,0,0,79.4,5.0,0
60,0,2,68.4,5.0,0
60,0,0,50.0,1.0,1
60,0,2,54.4,5.0,0
60,0,0,66.66666666666667,3.0,1
60,0,1,72.2,5.0,0
90,0,0,56.66666666666666,3.0,1
60,0,0,83.6,5.0,0
180,0,1,62.6,5.0,1
60,0,1,72.4,5.0,0
60,0,2,61.8,5.0,0
60,0,0,66.0,5.0,0
60,0,0,78.0,5.0,0
240,0,0,67.75,4.0,0
240,0,0,57.833333333333336,6.0,1
60,0,4,78.0,5.0,0
60,0,1,79.2,5.0,0
80,0,1,75.8,5.0,0
120,0,0,58.4,5.0,0
60,0,1,78.8,5.0,0
60,0,1,58.6,5.0,1
60,0,1,77.4,5.0,0
60,0,0,55.6,5.0,0
90,0,2,78.4,5.0,0
60,0,2,71.4,5.0,0
120,0,1,76.8,5.0,0
60,0,2,58.8,5.0,0
60,0,2,64.8,5.0,0
60,0,0,57.5,2.0,1
60,0,0,71.0,5.0,0
60,0,0,76.6,5.0,0
90,0,0,74.6,5.0,1
180,0,0,43.0,2.0,1
60,0,0,76.4,5.0,0
60,0,0,67.66666666666667,6.0,1
60,0,2,79.2,5.0,0
150,0,0,73.4,5.0,0
60,0,2,55.4,5.0,1
60,0,1,0.0,0.0,1
60,0,0,60.6,5.0,0
60,0,0,71.0,5.0,0
120,0,0,67.8,5.0,0
60,0,0,70.4,5.0,0
60,0,0,75.0,5.0,0
60,0,0,83.6,5.0,0
180,0,0,0.0,0.0,1
120,0,0,46.75,4.0,0
60,0,1,78.2,5.0,0
60,0,0,52.8,5.0,0
240,0,0,71.0,17.0,1
60,0,4,86.8,5.0,0
60,0,1,80.8,5.0,0
60,0,0,78.8,5.0,0
60,0,0,58.66666666666666,3.0,1
60,0,0,64.0,1.0,1
120,0,0,78.0,5.0,0
120,0,2,0.0,0.0,1
120,0,0,58.2,5.0,0
60,0,0,82.0,5.0,0
60,0,0,62.6,5.0,0
60,0,1,81.2,5.0,0
60,0,0,60.0,4.0,0
120,0,0,59.2,5.0,0
60,0,4,87.8,5.0,0
60,0,0,61.8,5.0,0
120,0,1,66.6,5.0,0
60,0,0,78.4,5.0,0
60,0,1,80.4,5.0,0
60,0,1,80.4,5.0,0
60,0,0,57.6,5.0,0
120,0,0,61.2,5.0,0
60,0,1,84.66666666666667,6.0,1
60,0,0,74.4,5.0,0
120,0,0,65.8,5.0,0
60,0,1,74.4,5.0,0
150,0,0,53.0,2.0,1
240,0,0,36.0,1.0,1
60,0,0,86.875,8.0,1
120,0,0,68.2,5.0,0
60,0,0,49.8,5.0,0
180,0,2,64.2,5.0,1
60,0,1,82.33333333333333,6.0,1
60,0,2,77.2,5.0,0
60,0,1,60.4,5.0,0
120,0,1,78.4,5.0,0
60,0,0,49.2,5.0,1
180,0,0,78.0,5.0,0
60,0,0,80.4,5.0,0
120,0,0,82.4,5.0,0
120,0,1,0.0,0.0,1
60,0,1,73.8,5.0,0
120,0,1,0.0,0.0,1
60,0,0,57.0,3.0,1
60,0,2,69.0,4.0,1
120,0,0,56.4,5.0,0
60,0,2,70.0,5.0,0
60,0,1,76.8,5.0,0
120,0,0,50.4,5.0,0
120,0,1,55.6,5.0,1
180,0,2,66.4,5.0,0
60,0,1,87.0,5.0,0
60,0,0,72.8,5.0,0
60,0,0,67.8,5.0,0
120,0,0,75.6,5.0,0
120,0,2,67.8,5.0,0
120,0,0,68.0,5.0,0
60,0,2,63.8,5.0,0
60,0,0,60.6,5.0,0
90,0,0,68.625,8.0,1
120,0,0,45.0,5.0,1
120,0,0,68.4,5.0,0
60,0,0,74.2,5.0,0
180,0,1,61.4,5.0,0
240,0,2,46.4,5.0,1
60,0,2,65.0,5.0,0
60,0,2,72.6,5.0,0
120,0,2,43.8,5.0,0
120,0,0,77.2,5.0,0
240,0,0,0.0,0.0,1
120,0,0,76.4,5.0,0
90,0,1,59.66666666666666,6.0,1
60,0,0,76.0,3.0,1
60,0,0,58.4,5.0,0
150,0,0,59.8,5.0,0
120,0,0,70.6,5.0,0
120,0,1,40.5,2.0,1
60,0,1,87.6,5.0,0
60,0,1,79.33333333333333,3.0,1
60,0,0,70.6,5.0,0
60,0,0,0.0,0.0,1
120,0,1,66.6,5.0,0
60,0,1,73.0,5.0,0
120,0,0,71.8,5.0,0
120,0,1,72.4,5.0,0
120,0,1,81.0,5.0,0
60,0,1,72.0,5.0,0
120,0,1,59.2,5.0,1
60,0,1,81.5,2.0,1
120,0,1,73.2,5.0,0
120,0,1,71.4,5.0,0
120,0,0,40.0,2.0,1
120,0,0,82.8,5.0,0
60,0,4,76.2,5.0,0
60,0,1,63.0,10.0,1
60,0,4,66.0,2.0,1
120,0,1,66.0,5.0,0
120,0,0,80.8,5.0,0
120,0,2,65.0,1.0,1
60,0,2,72.0,5.0,0
60,0,0,81.2,5.0,0
60,0,0,76.4,5.0,0
60,0,0,61.8,5.0,0
60,0,1,77.2,5.0,0
60,0,0,72.0,5.0,0
180,0,0,59.75,4.0,1
60,0,1,68.0,5.0,0
60,0,1,56.6,5.0,0
60,0,2,70.0,5.0,0
60,0,1,82.6,5.0,0
60,0,0,68.57142857142857,7.0,1
60,0,0,35.0,2.0,1
60,0,1,75.2,5.0,0
120,0,0,59.0,2.0,1
60,0,0,63.0,1.0,1
120,0,1,81.8,5.0,0
60,0,2,61.9,10.0,1
60,0,0,61.8,5.0,0
60,0,2,73.0,5.0,0
60,0,2,79.6,5.0,0
60,0,1,77.5,2.0,1
60,0,0,84.6,5.0,0
60,0,0,85.0,5.0,0
60,0,2,68.0,1.0,1
60,0,1,78.2,5.0,0
60,0,0,83.8,5.0,0
75,0,2,61.0,2.0,1
60,0,0,0.0,0.0,1
60,0,1,66.2,5.0,0
60,0,1,76.8,5.0,0
60,0,0,77.4,5.0,0
60,0,2,71.0,5.0,0
300,0,2,62.6,5.0,0
60,0,0,72.0,5.0,0
60,0,0,73.6,5.0,0
60,0,0,70.4,5.0,0
60,0,0,73.0,5.0,0
120,0,2,53.6,5.0,0
60,0,2,83.6,10.0,1
120,0,2,67.25,4.0,0
60,0,0,76.0,5.0,0
60,0,2,78.4,5.0,0
60,0,2,66.6,5.0,0
60,0,0,61.2,5.0,1
330,0,0,35.666666666666664,3.0,1
60,0,2,58.85714285714285,7.0,1
60,0,0,69.6,5.0,0
120,0,0,67.8,5.0,0
60,0,2,59.75,4.0,1
60,0,2,65.6,5.0,0
60,0,2,82.4,5.0,0
120,0,0,66.5,8.0,1
60,0,2,52.6,5.0,0
60,0,1,70.0,5.0,0
60,0,0,0.0,0.0,1
60,0,0,62.2,5.0,0
60,0,2,73.8,5.0,0
120,0,0,70.0,1.0,1
60,0,0,69.0,5.0,0
60,0,0,66.0,5.0,0
60,0,0,67.2,5.0,0
60,0,1,75.6,5.0,0
60,0,0,71.2,5.0,0
60,0,0,76.4,5.0,0
120,0,0,54.5,2.0,1
60,0,0,83.0,5.0,0
60,0,2,51.4,5.0,0
150,0,0,61.2,5.0,0
60,0,1,32.0,3.0,1
60,0,0,75.8,5.0,1
60,0,1,0.0,0.0,1
120,0,2,57.2,5.0,0
60,0,2,80.0,5.0,0
60,0,2,73.2,5.0,1
60,0,0,51.5,4.0,1
60,0,1,67.8,5.0,1
180,0,0,69.0,6.0,1
60,0,1,83.4,5.0,0
300,0,1,0.0,0.0,1
120,0,0,75.6,5.0,0
60,0,2,50.6,5.0,0
120,0,0,73.4,5.0,0
60,0,0,73.0,4.0,1
120,0,0,46.8,5.0,1
120,0,1,80.0,2.0,1
90,0,2,82.8,5.0,0
60,0,0,77.6,5.0,0
120,0,0,51.0,1.0,1
60,0,0,74.4,5.0,0
60,0,0,60.6,5.0,0
120,0,2,24.666666666666668,3.0,1
180,0,2,70.0,5.0,0
60,0,2,90.6,5.0,0
60,0,1,78.8,5.0,0
60,0,1,56.0,2.0,1
60,0,2,44.5,4.0,1
60,0,1,67.0,2.0,1
60,0,0,79.6,5.0,0
60,0,2,75.8,5.0,0
120,0,2,55.6,5.0,0
120,0,1,73.6,5.0,0
240,0,2,77.2,5.0,0
60,0,1,79.4,5.0,0
60,0,0,76.6,5.0,0
60,0,2,60.8,5.0,0
120,0,0,61.75,4.0,0
60,0,1,78.0,5.0,0
60,0,0,63.2,5.0,0
60,0,1,80.8,5.0,0
60,0,2,0.0,0.0,1
60,0,1,62.6,5.0,0
60,0,2,64.8,5.0,0
120,0,1,53.5,2.0,1
60,0,1,80.6,5.0,0
60,0,1,81.2,5.0,0
60,0,2,71.2,5.0,0
60,0,0,65.4,5.0,0
60,0,0,71.8,5.0,0
60,0,0,71.8,5.0,0
120,0,0,71.2,5.0,1
60,0,1,75.4,5.0,0
60,0,2,70.8,5.0,0
60,0,0,64.0,2.0,1
60,0,0,79.6,5.0,0
60,0,2,73.6,5.0,0
60,0,0,76.0,5.0,0
60,0,0,72.6,5.0,0
120,0,0,76.4,5.0,0
60,0,0,70.0,5.0,0
60,0,0,71.4,5.0,0
60,0,2,78.2,5.0,0
60,0,0,64.8,5.0,0
60,0,0,0.0,0.0,1
120,0,0,56.0,4.0,0
60,0,0,79.4,5.0,0
120,0,2,65.6,5.0,0
60,0,2,79.2,5.0,0
60,0,0,51.2,5.0,0
180,0,0,82.6,5.0,0
60,0,2,83.4,5.0,0
60,0,0,84.2,5.0,0
60,0,1,63.2,5.0,0
60,0,0,76.0,5.0,0
60,0,0,57.2,5.0,1
60,0,1,68.8,5.0,0
150,0,1,43.333333333333336,3.0,1
60,0,0,71.4,5.0,0
60,0,2,78.6,5.0,0
60,0,0,67.8,5.0,0
60,0,0,81.6,5.0,0
60,0,0,84.8,5.0,0
180,0,0,58.25,4.0,0
120,0,0,79.4,5.0,0
120,0,2,67.8,5.0,0
60,0,1,61.8,5.0,0
60,0,2,46.8,5.0,0
60,0,0,86.2,5.0,0
60,0,2,77.6,5.0,0
60,0,0,54.8,5.0,0
60,0,1,64.8,5.0,0
120,0,2,63.0,5.0,0
60,0,0,71.0,5.0,0
60,0,1,76.0,5.0,0
120,0,0,73.4,5.0,0
60,0,0,71.6,5.0,0
60,0,0,51.4,5.0,0
60,1,0,67.0,4.0,1
60,0,1,80.2,5.0,0
120,0,0,81.8,5.0,0
60,0,2,60.66666666666666,3.0,1
60,0,2,58.0,4.0,0
60,0,0,77.6,5.0,0
60,0,2,71.2,5.0,0
60,0,2,50.0,3.0,1
60,1,2,65.33333333333333,6.0,0
60,0,2,45.0,2.0,1
60,0,2,82.6,5.0,0
60,0,1,82.0,5.0,0
60,0,1,61.8,5.0,0
60,0,1,67.8,5.0,0
60,0,0,0.0,0.0,1
60,0,0,57.6,5.0,0
60,0,0,67.0,4.0,1
60,1,0,76.0,5.0,0
120,0,0,87.2,5.0,0
60,0,1,64.8,5.0,0
60,1,0,81.0,6.0,1
60,0,0,78.4,5.0,0
60,0,0,58.4,5.0,0
60,0,0,60.0,5.0,0
60,0,0,78.6,5.0,0
60,0,0,65.4,5.0,0
60,0,2,78.2,5.0,0
120,1,2,0.0,0.0,1
60,1,2,53.142857142857146,7.0,0
60,0,2,84.0,5.0,0
60,0,0,61.0,5.0,1
210,1,0,48.833333333333336,6.0,0
60,0,0,75.0,1.0,1
120,0,2,63.4,5.0,0
120,1,2,68.66666666666667,9.0,0
60,1,0,79.5,8.0,0
60,0,0,66.4,5.0,0
60,0,0,68.4,5.0,0
120,0,0,67.0,3.0,1
60,0,2,71.0,1.0,1
120,1,2,78.14285714285714,7.0,0
60,0,0,74.0,3.0,1
60,1,0,68.2,5.0,1
60,0,0,62.4,5.0,0
60,0,0,77.0,1.0,1
60,0,1,76.0,5.0,0
60,0,0,60.4,5.0,0
60,0,2,75.4,5.0,0
60,0,0,65.0,5.0,0
60,0,0,69.6,5.0,0
270,0,1,85.0,1.0,1
60,0,2,65.6,5.0,0
60,0,2,59.6,5.0,1
60,1,0,71.66666666666667,6.0,0
60,0,0,75.8,5.0,0
60,0,1,69.4,5.0,0
60,0,0,66.0,5.0,0
60,0,1,66.4,5.0,0
60,0,0,83.0,5.0,0
60,0,1,70.6,5.0,0
60,0,2,66.2,5.0,0
60,0,2,59.6,5.0,0
180,1,0,57.833333333333336,6.0,0
60,0,0,46.4,5.0,0
60,0,0,72.4,5.0,0
60,0,2,43.6,5.0,1
60,0,0,67.2,5.0,0
60,0,0,85.0,5.0,0
120,0,0,49.0,5.0,0
60,0,0,82.8,5.0,0
60,0,0,80.6,5.0,0
120,1,0,57.5,2.0,1
60,0,2,70.2,5.0,0
60,0,0,74.0,5.0,0
60,0,2,79.6,5.0,0
60,0,2,88.8,5.0,0
240,0,0,53.8,5.0,0
120,1,0,43.0,2.0,1
60,0,2,81.8,5.0,0
120,0,2,54.0,5.0,1
60,0,0,45.0,3.0,1
60,0,1,73.0,5.0,0
60,0,0,46.0,5.0,1
120,1,0,67.66666666666667,6.0,1
60,0,1,72.4,5.0,0
60,0,0,83.0,5.0,0
60,0,1,86.2,5.0,0
90,0,0,72.8,5.0,0
60,0,0,73.6,5.0,0
60,0,0,73.4,5.0,0
120,0,0,0.0,0.0,1
60,0,1,75.2,5.0,0
60,0,1,66.0,5.0,0
60,0,0,84.6,5.0,0
60,0,0,81.6,5.0,0
60,0,0,60.0,5.0,0
60,0,0,80.6,5.0,0
60,0,0,77.6,5.0,1
60,0,0,67.0,5.0,1
60,0,1,64.0,5.0,0
60,0,0,77.2,5.0,0
120,0,0,72.8,5.0,1
60,0,0,79.2,5.0,0
60,0,0,52.8,5.0,0
60,0,0,85.2,5.0,0
60,0,0,80.4,5.0,0
60,1,1,74.8,5.0,0
60,0,0,75.6,5.0,0
60,0,0,52.8,5.0,0
60,0,0,66.0,5.0,0
60,0,0,76.0,5.0,0
60,0,0,65.8,5.0,0
120,0,0,0.0,0.0,1
60,0,1,80.8,5.0,0
60,0,0,68.6,5.0,0
60,0,0,82.4,5.0,0
120,0,0,75.2,5.0,0
180,0,0,0.0,0.0,1
60,0,0,55.8,5.0,0
180,0,0,0.0,0.0,1
60,0,0,49.8,5.0,1
60,0,2,59.6,5.0,0
60,1,1,84.66666666666667,6.0,0
60,0,0,82.2,5.0,0
60,0,1,39.8,5.0,1
60,0,0,70.2,5.0,0
60,1,0,86.875,8.0,0
120,0,0,44.0,1.0,1
60,0,0,73.8,5.0,0
120,0,1,68.5,2.0,1
60,1,1,82.33333333333333,6.0,0
60,0,1,73.8,5.0,0
60,0,0,77.4,5.0,0
120,0,0,72.6,5.0,0
120,0,1,61.5,2.0,1
60,0,0,76.6,5.0,0
120,0,0,52.2,5.0,0
60,0,2,69.6,5.0,0
60,0,0,64.6,5.0,0
60,0,0,64.6,5.0,0
60,0,0,58.0,5.0,1
60,0,1,71.5,4.0,0
120,0,2,75.0,5.0,0
60,0,1,59.6,5.0,0
60,0,0,73.6,5.0,1
60,0,1,81.6,5.0,0
60,0,0,65.6,5.0,0
60,0,1,71.4,5.0,0
120,0,0,75.6,5.0,0
120,0,0,83.0,5.0,0
60,0,0,78.8,5.0,1
60,0,2,76.6,5.0,0
60,0,0,72.0,3.0,1
60,0,0,78.6,5.0,0
60,0,1,80.2,5.0,0
120,0,1,75.4,5.0,0
60,0,2,80.4,5.0,0
60,0,1,55.0,2.0,1
60,0,0,0.0,0.0,1
300,0,0,40.0,2.0,1
90,1,0,68.625,8.0,0
60,0,1,82.2,5.0,0
120,0,2,54.25,4.0,1
180,0,2,40.2,5.0,1
120,0,0,69.2,5.0,0
60,0,1,79.8,5.0,0
60,0,2,59.2,5.0,0
60,0,0,52.6,5.0,0
180,0,0,75.6,5.0,0
60,0,0,70.4,5.0,0
60,0,0,73.2,5.0,0
60,0,2,67.6,5.0,0
60,0,0,74.0,5.0,0
60,0,0,79.6,5.0,0
60,0,1,83.6,5.0,0
60,0,1,77.4,5.0,0
120,0,0,63.8,5.0,0
60,0,0,66.4,5.0,0
60,0,0,73.2,5.0,0
60,1,1,59.66666666666666,6.0,1
90,0,0,41.2,5.0,1
60,0,0,77.8,5.0,0
120,0,1,59.4,5.0,0
300,0,2,83.0,5.0,0
150,0,0,55.2,5.0,1
60,0,0,73.0,5.0,0
60,0,0,69.33333333333333,3.0,1
120,0,1,53.0,5.0,0
60,0,1,65.8,5.0,0
120,0,0,57.6,5.0,0
60,0,0,52.4,5.0,0
120,0,2,40.0,2.0,1
120,0,0,61.2,5.0,1
60,1,1,79.33333333333333,3.0,1
120,1,1,61.6,5.0,0
120,0,0,83.8,5.0,0
180,0,0,49.0,3.0,1
120,0,0,70.6,5.0,0
120,0,0,64.8,5.0,0
120,0,1,80.4,5.0,0
180,0,0,0.0,0.0,1
60,0,0,54.0,5.0,0
120,0,0,75.4,5.0,0
60,0,0,69.0,5.0,0
120,0,2,0.0,0.0,1
60,0,1,73.8,5.0,0
90,0,1,75.0,1.0,1
120,0,1,90.8,5.0,0
120,0,2,49.5,4.0,1
60,0,1,58.2,5.0,0
120,0,1,60.8,5.0,1
120,0,0,73.2,5.0,0
60,0,1,74.6,5.0,0
90,0,0,0.0,0.0,1
120,0,0,0.0,0.0,1
60,0,1,85.8,5.0,0
120,0,0,75.8,5.0,0
120,0,1,42.0,5.0,0
60,0,1,76.8,5.0,0
120,0,1,64.8,5.0,1
180,0,1,72.4,5.0,1
120,0,1,77.4,5.0,0
60,0,0,0.0,0.0,1
90,0,1,61.8,5.0,0
60,1,1,63.0,10.0,1
120,0,1,0.0,0.0,1
120,0,0,0.0,0.0,1
120,0,0,79.8,5.0,0
120,0,1,56.0,5.0,0
60,0,0,80.0,1.0,1
120,0,1,0.0,0.0,1
120,0,0,84.5,2.0,1
60,0,1,51.8,5.0,0
120,0,0,65.6,5.0,0
60,0,1,44.0,2.0,1
240,0,0,53.0,5.0,1
120,0,1,74.0,4.0,1
60,0,1,55.6,5.0,0
60,0,0,0.0,0.0,1
120,0,1,62.6,5.0,0
120,0,1,52.6,5.0,0
60,0,2,73.2,5.0,0
60,0,1,78.33333333333333,3.0,1
60,1,2,65.0,1.0,1
60,0,0,34.5,2.0,1
60,0,0,68.8,5.0,0
60,0,2,79.4,5.0,0
60,0,0,66.8,5.0,0
60,0,1,71.33333333333333,3.0,1
60,0,1,60.2,5.0,0
60,0,1,0.0,0.0,0
60,1,0,68.57142857142857,7.0,0
60,0,0,72.75,4.0,1
60,1,0,63.0,1.0,1
120,0,1,0.0,0.0,1
60,0,0,71.0,5.0,0
60,1,2,61.9,10.0,0
60,0,0,65.8,5.0,0
60,0,0,74.6,5.0,0
60,0,0,86.6,5.0,0
60,0,0,79.4,5.0,0
60,0,0,80.2,5.0,0
60,0,1,0.0,0.0,1
60,0,0,80.0,1.0,1
60,0,2,70.5,2.0,1
60,0,0,78.0,5.0,0
90,0,2,58.0,5.0,0
60,0,0,70.4,5.0,0
60,0,0,74.6,5.0,0
60,0,0,77.4,5.0,0
120,0,1,86.0,1.0,1
60,0,2,40.0,1.0,1
60,0,2,62.2,5.0,0
60,0,0,76.2,5.0,0
60,0,0,65.0,5.0,0
120,1,2,83.6,10.0,0
60,0,2,64.0,5.0,0
60,0,0,84.2,5.0,0
120,0,1,72.0,1.0,1
60,0,2,66.0,5.0,0
60,1,2,58.85714285714285,7.0,1
60,0,1,86.8,5.0,0
60,0,0,69.2,5.0,0
60,1,0,66.5,8.0,0
90,0,2,72.0,5.0,0
60,0,0,86.0,1.0,1
120,0,2,58.0,2.0,1
60,0,2,63.2,5.0,0
60,0,2,24.0,1.0,1
120,0,2,54.66666666666666,3.0,1
60,0,2,76.8,5.0,0
60,0,0,85.2,5.0,0
60,0,0,38.333333333333336,3.0,1
60,0,0,65.4,5.0,0
60,0,0,62.6,5.0,0
360,0,0,0.0,0.0,1
60,1,0,75.8,5.0,0
60,0,2,69.8,5.0,0
120,0,0,54.4,5.0,0
60,1,0,69.0,6.0,0
60,0,0,80.6,5.0,0
240,1,1,0.0,0.0,1
60,0,0,78.5,4.0,0
60,0,0,71.4,5.0,0
60,0,2,48.4,5.0,0
60,0,2,71.4,5.0,0
60,0,2,52.5,2.0,1
60,0,1,68.6,5.0,0
60,1,0,51.0,1.0,1
60,0,1,63.4,5.0,0
60,0,0,54.0,5.0,0
60,0,0,43.0,2.0,1
60,0,1,71.4,5.0,0
60,1,1,67.0,2.0,1
60,0,0,55.0,5.0,0
60,1,0,35.0,1.0,1
60,0,1,83.6,5.0,0
120,0,0,71.2,5.0,0
60,0,0,79.0,1.0,1
90,0,0,66.0,5.0,0
60,0,0,82.6,5.0,0
60,0,2,66.4,5.0,0
60,0,0,63.8,5.0,0
60,0,0,68.4,5.0,0
60,0,1,43.333333333333336,3.0,1
60,0,1,73.0,1.0,1
60,0,0,63.2,5.0,0
60,0,2,50.0,2.0,1
60,1,0,71.2,5.0,0
60,0,1,56.4,5.0,1
60,1,0,64.0,2.0,1
120,0,2,70.0,5.0,0
60,0,2,49.2,5.0,0
120,0,0,64.0,5.0,0
60,0,2,56.8,5.0,1
60,0,0,84.6470588235294,17.0,0
60,0,1,82.0,5.0,0
120,0,2,72.5,2.0,1
60,0,0,29.0,1.0,1
60,0,0,62.6,5.0,1
210,0,2,0.0,0.0,1
60,0,0,54.0,5.0,0
90,0,0,57.2,5.0,0
60,0,2,83.4,5.0,0
60,0,0,77.6,5.0,0
60,0,2,64.8,5.0,0
60,1,2,71.6,5.0,0
90,0,0,69.6,5.0,0
60,0,1,78.8,5.0,0
60,0,2,59.5,4.0,0
120,0,0,58.0,1.0,1
120,0,2,78.2,5.0,0
180,0,0,35.333333333333336,3.0,1
60,2,2,82.5,4.0,1
120,0,2,77.36363636363636,11.0,0
120,2,2,69.16666666666667,12.0,1
120,0,2,73.22222222222223,9.0,1
60,0,0,79.27272727272727,11.0,0
60,1,0,78.66666666666667,3.0,1
120,2,0,88.0,9.0,0
120,0,0,90.6,10.0,1
60,0,2,80.0,1.0,1
60,1,0,0.0,0.0,1
150,1,2,67.33333333333333,3.0,1
60,0,0,73.9090909090909,11.0,0
60,0,2,71.0,1.0,1
120,0,2,83.0909090909091,11.0,0
60,0,2,46.22222222222222,9.0,1
60,0,2,81.8,10.0,1
90,2,0,87.5,2.0,1
60,0,0,80.42857142857143,7.0,1
240,0,1,84.18181818181819,11.0,0
150,1,0,0.0,0.0,1
60,0,0,0.0,0.0,1
90,0,2,91.8,10.0,0
180,0,2,83.0,10.0,0
60,0,2,72.9,10.0,0
60,0,2,73.25,4.0,1
120,4,2,0.0,0.0,1
180,0,2,68.45454545454545,11.0,0
60,0,2,74.9090909090909,11.0,0
60,0,1,73.0,11.0,0
120,0,0,87.1,10.0,0
60,0,0,89.2,10.0,0
60,0,1,69.58333333333333,12.0,1
180,0,0,0.0,0.0,1
75,0,0,78.6,10.0,0
60,0,2,0.0,0.0,1
60,0,0,82.2,10.0,0
60,0,2,66.4,5.0,1
60,0,0,76.1,10.0,0
120,0,1,81.5,10.0,0
135,3,2,76.7,10.0,0
60,1,2,77.44444444444444,9.0,1
60,0,2,0.0,0.0,1
60,0,0,90.7,10.0,0
60,0,1,80.72727272727273,11.0,0
180,0,0,0.0,0.0,1
120,0,2,94.63636363636364,11.0,0
120,0,2,78.6,10.0,0
60,0,0,88.72727272727273,11.0,0
120,0,1,89.81818181818181,11.0,0
60,0,0,72.91304347826087,23.0,0
60,0,1,90.4,10.0,0
60,0,0,73.0,2.0,1
70,0,2,88.33333333333333,6.0,1
120,2,2,0.0,0.0,1
180,1,0,0.0,0.0,1
60,0,0,77.9090909090909,11.0,0
60,1,0,84.14285714285714,7.0,0
60,2,2,100.0,1.0,1
180,1,0,0.0,0.0,1
120,1,2,0.0,0.0,1
60,0,1,93.0,11.0,0
60,0,2,0.0,0.0,1
70,0,2,76.0,6.0,1
120,0,0,29.0,2.0,1
60,0,2,78.41666666666667,12.0,1
120,0,0,86.0909090909091,11.0,0
60,0,2,0.0,0.0,1
60,0,0,86.0,11.0,0
60,0,0,78.57142857142857,7.0,1
60,0,0,89.0909090909091,11.0,0
60,1,2,52.285714285714285,7.0,1
60,0,0,82.22222222222223,9.0,0
60,0,2,80.44444444444444,9.0,0
120,1,2,83.54545454545455,11.0,0
120,1,2,85.15384615384616,13.0,1
60,0,2,73.3,10.0,0
60,0,0,87.55555555555556,9.0,1
60,0,1,79.18181818181819,11.0,0
60,1,2,0.0,0.0,1
60,0,0,86.9,10.0,0
60,1,2,40.0,1.0,1
60,0,0,82.1,10.0,0
60,0,0,59.0,2.0,1
120,0,2,65.0,1.0,1
120,2,2,0.0,0.0,1
60,0,0,58.57142857142857,7.0,1
60,1,2,77.33333333333333,9.0,1
270,1,0,0.0,0.0,1
150,1,2,0.0,0.0,1
60,0,0,75.33333333333333,3.0,1
120,2,2,83.0909090909091,11.0,0
225,1,0,95.0,3.0,1
120,1,2,0.0,0.0,1
60,2,2,84.0909090909091,11.0,0
60,1,1,72.625,8.0,1
120,2,0,0.0,0.0,1
60,2,2,71.125,8.0,1
120,1,2,67.8,10.0,1
120,0,2,87.54545454545455,11.0,0
120,0,0,86.0909090909091,11.0,0
60,0,2,86.7,10.0,0
